,Term Status,Class Section,Class Title,Instructor,Day,Start_Time,End_Time,Location
3219,22SFull,MECH 3150.104,Kinematics and Dynamics Laboratory,Wooram Park ,Wednesday,13:00:00,15:45:00,ECSW 3.335
3220,22SFull,MECH 3305.001,Computer Aided Design,Sepehr Sadeh ,Tuesday,10:00:00,11:15:00,ECSW 3.335
3221,22SFull,MECH 3305.001,Computer Aided Design,Sepehr Sadeh ,Thursday,10:00:00,11:15:00,ECSW 3.335
3222,22SOpen,MECH 3310.001,Thermodynamics,"Diana Alatalo , Hui Ouyang ",Monday,16:00:00,17:15:00,ECSW 1.365
3223,22SOpen,MECH 3310.001,Thermodynamics,"Diana Alatalo , Hui Ouyang ",Wednesday,16:00:00,17:15:00,ECSW 1.365
3224,22SOpen,MECH 3315.001,Fluid Mechanics,Stefano Leonardi ,Monday,13:00:00,14:15:00,ECSS 2.410
3225,22SOpen,MECH 3315.001,Fluid Mechanics,Stefano Leonardi ,Wednesday,13:00:00,14:15:00,ECSS 2.410
3226,22SFull,MECH 3320.001,Heat Transfer,Shuang Cui ,Monday,13:00:00,14:15:00,ECSW 3.250
3227,22SFull,MECH 3320.001,Heat Transfer,Shuang Cui ,Wednesday,13:00:00,14:15:00,ECSW 3.250
3228,22SOpen,MECH 3320.002,Heat Transfer,Seung You ,Tuesday,16:00:00,17:15:00,ECSW 1.355
3229,22SOpen,MECH 3320.002,Heat Transfer,Seung You ,Thursday,16:00:00,17:15:00,ECSW 1.355
3230,22SFull,MECH 3320.003,Heat Transfer,Guoping Xiong ,Tuesday,13:00:00,14:15:00,ECSW 1.355
3231,22SFull,MECH 3320.003,Heat Transfer,Guoping Xiong ,Thursday,13:00:00,14:15:00,ECSW 1.355
3232,22SFull,MECH 3340.001,System Dynamics Modeling and Analysis,Justin Koeln ,Tuesday,11:30:00,12:45:00,ECSW 1.355
3233,22SFull,MECH 3340.001,System Dynamics Modeling and Analysis,Justin Koeln ,Thursday,11:30:00,12:45:00,ECSW 1.355
3234,22SOpen,MECH 3340.002,System Dynamics Modeling and Analysis,Armin Zare ,Monday,11:30:00,12:45:00,ECSW 3.210
3235,22SOpen,MECH 3340.002,System Dynamics Modeling and Analysis,Armin Zare ,Wednesday,11:30:00,12:45:00,ECSW 3.210
